mag4,spring_displacement_fit
412,13.500537271519022
413,13.553762140538499
414,13.58758
415,13.65923991791615
416,13.721231731905569
417,13.74806523894905
418,13.855310737703801
419,13.877704741680617
420,13.89179427172876
422,13.930204058454649
424,13.93645973190557
425,14.032123686217503
427,14.101994140538498
429,14.11126
431,14.1703265
432,14.21995
433,14.27615
435,14.34289
437,14.42062
438,14.42861
439,14.454355635511948
440,14.49422522650453
441,14.543321296571737
442,14.656282824461874
444,14.702844285714283
447,14.844275
449,14.8641
450,14.928604666666663
451,14.945875488920132
452,15.099640575013948
454,15.154356409972271
455,15.193084584582815
456,15.243520898572234
458,15.283739793371685
459,15.290400208665233
460,15.319893839826303
461,15.35797662674932
462,15.375046822253466
463,15.468879157795206
464,15.48184844633917
465,15.535224684026826
466,15.538002353237216
468,15.540645412704372
469,15.55010720262985
470,15.561131743645936
472,15.647434833333332
473,15.703723333333333
475,15.867211322253464
476,15.96392982173538
477,15.985615660286706
478,16.04126281636614
479,16.105108705723744
480,16.18135975
481,16.191273111111112
482,16.25584611138454
483,16.34705896323841
484,16.35685211111111
485,16.471549157795206
486,16.549991822253464
487,16.677950074461872
488,16.704165739844367
489,16.725145352884173
491,16.824921884221126
492,16.866901666666664
493,16.910006666666664
494,17.067696666666663
495,17.124795
496,17.174913333333333
497,17.34843230217861
498,17.417285687384545
499,17.476903356666664
500,17.567323857795206
501,17.657343822253463
502,17.710362270103985
504,17.756755453889497
505,17.786192938185692
506,17.787726442776563
507,17.799727104970028
508,17.833948064397955
509,17.857869984314426
511,17.895745865787045
513,17.914333144220276
514,17.93004493818569
516,17.959229519787957
517,17.978727104970027
518,17.995418352884172
519,18.00624937887766
520,18.090361245583157
521,18.15585342882656
523,18.24248430720516
525,18.342839666666663
526,18.361937684582823
527,18.42815084857223
528,18.46134062670501
529,18.53377794970848
530,18.539486498572227
532,18.55436008136515
534,18.600776855400213
535,18.67785688422113
536,18.721042861384543
537,18.784188963238407
538,18.81170598840205
540,18.852182745583153
542,18.902966203013428
543,18.986605104970028
545,19.053474064397957
546,19.080258057497925
547,19.10510319905793
548,19.12606971179408
549,19.155844788314948
550,19.18907063309586
552,19.235438105266365
553,19.28098877167716
554,19.295136776052743
555,19.34493296642919
556,19.375024708055015
557,19.400181666666665
559,19.455776666666665
561,19.501098601169442
562,19.549414708055018
563,19.63311273984437
565,19.642622796281042
568,19.664561408341008
570,19.703489679293195
571,19.86009382225346
573,19.947954491128538
574,19.95292682179797
575,19.955059767880197
576,19.95527706092311
578,19.963055545933067
579,19.963075585163935
582,19.994122328364067
584,20.023015126705012
585,20.09242436511986
588,20.10093882225346
590,20.249859491128536
592,20.287752739844368
594,20.378286666666664
597,20.446630567442025
598,20.621586666666666
602,20.682856666666662
605,20.74472666666666
608,20.83868666666666
611,20.933876666666663
613,20.998216666666664
616,21.063166666666664
619,21.128756666666664
622,21.2624
