mag4,spring_displacement_fit
508,0.9352974317509979
509,0.928071890337955
510,0.9121475238729175
512,0.9087044449024382
513,0.9057679254494908
514,0.9009448295327678
515,0.8976871527503558
516,0.8967320152102212
517,0.8903795812696385
518,0.8866358953705626
519,0.8829017312517604
521,0.8813824895737357
523,0.8770748237301995
525,0.872437223190385
527,0.8645331108362306
528,0.8517462202394395
530,0.8467169689516068
531,0.8380574191694725
532,0.8347590211969291
533,0.8299222262295181
534,0.8253734105090635
535,0.8178496945646079
537,0.8141577904430584
538,0.8068204685691116
539,0.7928044823935978
541,0.7877765718819014
542,0.7801528882978483
544,0.772449672311156
545,0.7593697078578563
546,0.746979626053085
547,0.7402510552829922
548,0.7368043000890454
549,0.7334180791468414
550,0.7272352736392458
552,0.7250345564382101
553,0.7162211856494811
554,0.7126796782110874
555,0.7107962515428157
556,0.708472535930682
557,0.7067385266218364
558,0.7016795135146139
559,0.7001492556677209
560,0.6955217273166552
561,0.6900417541081718
562,0.6800904917488788
563,0.6787365719107363
564,0.6786329567904894
566,0.6784696423871974
567,0.6680745307401694
569,0.6671109075429631
570,0.6635635353596339
571,0.6625967306359914
573,0.6614624329690377
574,0.6538751353191077
576,0.6385756128611826
578,0.63358426897139
579,0.6285563584596936
581,0.6234854821672609
583,0.6183798675840202
585,0.6080251144265687
586,0.5975332364369796
588,0.5922155354467007
590,0.5868484695168519
593,0.5814375236407185
595,0.5759753844939213
597,0.570467537069745
599,0.5621052077232465
601,0.5536350068421334
603,0.5479132446798229
605,0.5421402892468481
607,0.5363069988877327
608,0.5274400501589693
610,0.51844694658464
612,0.5123622606999398
613,0.5062144973924569
615,0.5
